name,price
"

            Crunchy Chocolate Chip Cookies
          
",16.49
"

            Crunchy Birthday Cake Cookies
          
",16.49
"

            Crunchy Ginger Snap Cookies
          
",16.49
"

            Crunchy Double Chocolate Cookies
          
",16.49
"

            Crunchy Variety Pack
          
",29.99
"

            Soft Baked Pumpkin Spice Cookies
          
",16.49
"

            Soft Baked Cookie Butter Cookies
          
",16.49
"

            Soft Baked Chocolate Chip Cookies
          
",16.49
"

            Soft Baked Lemon Cookies
          
",16.49
"

            Soft Baked Double Chocolate Brownie Cookies
          
",16.49
"

            Soft Baked Variety Pack
          
",29.99
"

            Brownie Mix
          
",23.99
"

            Pizza Crust Baking Mix
          
",23.99
"

            Blondie Mix
          
",23.99
"

            Pumpkin Spice Muffin Baking Mix
          
",15.99
"

            Variety Pack Cookie Baking Mix
          
",15.99
"

            Chocolate Chip Cookie Baking Mix
          
",15.99
"

            Birthday Cake Cookie Baking Mix
          
",15.99
"

            Classic Pancake & Waffle Mix
          
",23.99
"

            Confetti Pancake & Waffle Mix
          
",23.99
"

            Crunchy Variety Pack
          
",29.99
"

            Soft Baked Variety Pack
          
",29.99
"

            All the Cookies! Family Pack (8 Boxes)
          
",43.99
"

            Pumpkin Lover's Variety Pack
          
",26.99
"

            Chocolate Lovers Variety Pack
          
",21.99
"

            Harvest Variety Pack
          
",16.49
"

            Chocolate Lovers Baking Pack
          
",24.99
"

            Denise's Favorites Variety Pack
          
",43.99
"

            Variety Pack Cookie Baking Mix
          
",15.99
"

            Build-Your-Own Variety Pack
          
",20.00
"

            Snack Pack - Chocolate Chip (24 ct)
          
",34.99
"

            Snack Pack - Birthday Cake (24 ct)
          
",34.99
"

            Snack Pack - Pumpkin Spice (24 ct)
          
",34.99
"

            Snack Pack - Soft Baked Chocolate Chip (24 ct)
          
",34.99
"

            Snack Pack - Soft Baked Double Chocolate Brownie (24 ct)
          
",34.99
"

            Crunchy Chocolate Chip Mini Cookies - 10 Snack Packs
          
",21.99
"

            Crunchy Chocolate Chip Mini Cookies - 10 Halloween Snack Packs
          
",19.99
"

            All the Cookies! 3-Month Gift Subscription
          
",130.00
"

            All the Cookies! 6-Month Gift Subscription
          
",260.00
"

            Crunchy Variety Pack 3-Month Gift Subscription
          
",90.00
"

            Crunchy Variety Pack 6-Month Gift Subscription
          
",175.00
"

            Gift Card
          
",10.00
"

            Soft Baked Variety Pack 3-Month Gift Subscription
          
",105.00
"

            Soft Baked Variety Pack 6-Month Gift Subscription
          
",205.00
"

            Gift Card
          
",10.00
